특성,수백만 명의 사용자 수
2021년 1분기,1878
2020년 4분기,1845
2020년 3분기,1820
2020년 2분기,1785
2020년 1분기,1734
'19년 4분기,1657
'19년 3분기,1623
2019년 2분기,1587
'19년 1분기,1562
'18년 4분기,1523
'18년 3분기,1495
'18년 2분기,1471
'18년 1분기,1449
'17년 4분기,1401
'17년 3분기,1368
2017년 2분기,1325
'17년 1분기,1284
'16년 4분기,1227
'16년 3분기,1179
'16년 2분기,1128
'16년 1분기,1090
'15년 4분기,1038
'15년 3분기,1007
'15년 2분기,968
'15년 1분기,936
'14년 4분기,890
'14년 3분기,864
'14년 2분기,829
'14년 1분기,802
'13년 4분기,757
'13년 3분기,728
'13년 2분기,699
'13년 1분기,665
'12년 4분기,618
'12년 3분기,584
2012년 2분기,552
'12년 1분기,526
'11년 4분기,483
'11년 3분기,457
'11년 2분기,417
'11년 1분기,372
