특성,전년대비 인플레이션율
2026*,3.16%
2025*,3.16%
2024*,3.18%
2023*,3.97%
2022*,4.71%
2021*,3.26%
2020*,4.99%
2019,3.68%
2018,4.67%
2017년,5.44%
2016년,6.67%
2015년,6%
2014년,5.22%
2013년,4.96%
2012,4.54%
2011년,4.44%
2010년,5.1%
2009년,6.91%
2008년,10.77%
2007년,0.91%
2006년,2.37%
2005년,1.78%
2004년,2.16%
2003년,14.71%
2002년,11.8%
2001년,9.3%
2000,15.6%
1999년,14.93%
1998년,13.59%
1997년,3.94%
1996년,11.63%
1995년,17.28%
1994년,2.85%
1993년,4.98%
1992년,4.31%
1991년,6.97%
1990년,6.95%
1989년,4.48%
1988년,5.45%
1987년,3.34%
1986년,5.45%
