특성,순이익/손실(단위: 백만 달러)
'10년 3분기,-82
'10년 4분기,30
'11년 1분기,96
'11년 2분기,-201
'11년 3분기,-322
'11년 4분기,151
'12년 1분기,221
2012년 2분기,-340
'12년 3분기,-205
'12년 4분기,400
'13년 1분기,201
'13년 2분기,-381
'13년 3분기,-45
'13년 4분기,323
'14년 1분기,222
'14년 2분기,-273
'14년 3분기,-308
'14년 4분기,367
'15년 1분기,335
'15년 2분기,3
'15년 3분기,142
'15년 4분기,395
'16년 1분기,442
'16년 2분기,-140
'16년 3분기,-45
'16년 4분기,899
'17년 1분기,440
2017년 2분기,-38
'17년 3분기,-1
'17년 4분기,566
'18년 1분기,644
'18년 2분기,-22
18년 3분기,-186
'18년 4분기,607
'19년 1분기,293
2019년 2분기,255
'19년 3분기,262
'19년 4분기,209
2020년 1분기,1421
2020년 2분기,854
2020년 3분기,346
2020년 4분기,418
2021년 1분기,365
2021년 2분기,185
2021년 3분기,211
2021년 4분기,76
