특성,백분율 변화
2020년 4분기,-2.4%
2020년 3분기,-2.8%
2020년 2분기,-9%
2020년 1분기,0.3%
'19년 4분기,2.3%
'19년 3분기,2.1%
2019년 2분기,2%
'19년 1분기,2.3%
'18년 4분기,2.5%
'18년 3분기,3.1%
'18년 2분기,3.3%
'18년 1분기,3.1%
'17년 4분기,2.8%
'17년 3분기,2.4%
2017년 2분기,2.2%
'17년 1분기,2.1%
'16년 4분기,2%
'16년 3분기,1.6%
'16년 2분기,1.3%
'16년 1분기,1.6%
'15년 4분기,1.9%
'15년 3분기,2.4%
'15년 2분기,3.3%
'15년 1분기,4%
'14년 4분기,2.9%
'14년 3분기,3.1%
'14년 2분기,2.7%
'14년 1분기,1.4%
'13년 4분기,2.6%
'13년 3분기,1.9%
'13년 2분기,1.3%
'13년 1분기,1.6%
'12년 4분기,1.5%
'12년 3분기,2.5%
2012년 2분기,2.4%
'12년 1분기,2.7%
'11년 4분기,1.6%
'11년 3분기,0.9%
'11년 2분기,1.7%
'11년 1분기,1.9%
'10년 4분기,2.6%
'10년 3분기,3.2%
'10년 2분기,2.8%
1분기 10년,1.7%
