특성,수백만 명의 사용자 수
1분기 21,259
2020년 4분기,258
2020년 3분기,255
2020년 2분기,256
2020년 1분기,253
'19년 4분기,248
'19년 3분기,247
2019년 2분기,244
'19년 1분기,243
'18년 4분기,242
'18년 3분기,242
'18년 2분기,241
'18년 1분기,241
'17년 4분기,239
'17년 3분기,239
2017년 2분기,236
'17년 1분기,234
'16년 4분기,231
'16년 3분기,229
'16년 2분기,226
'16년 1분기,222
'15년 4분기,219
'15년 3분기,217
'15년 2분기,213
'15년 1분기,210
'14년 4분기,208
'14년 3분기,206
'14년 2분기,204
'14년 1분기,202
'13년 4분기,201
'13년 3분기,199
'13년 2분기,198
'13년 1분기,195
'12년 4분기,193
'12년 3분기,189
2012년 2분기,186
'12년 1분기,183
'11년 4분기,179
'11년 3분기,176
'11년 2분기,169
'11년 1분기,163
'10년 4분기,154
'10년 3분기,144
'10년 2분기,137
'10년 1분기,130
