특성,국내 총생산(단위: 10억 달러)
2026*,54.06
2025*,52.23
2024*,50.31
2023*,48.43
2022*,46.53
2021*,44.27
2020*,39.55
2019,39.17
2018,40.14
2017년,39.63
2016년,41.8
2015년,43.17
2014년,47.63
2013년,46.25
2012,45.04
2011년,45.81
2010년,44.05
2009년,43.47
2008년,44.84
2007년,38.92
2006년,34.38
2005년,32.27
2004년,31.18
2003년,27.45
2002년,23.14
2001년,22.07
2000,21.47
1999년,22.94
1998년,21.8
1997년,20.75
1996년,21.28
1995년,19.65
1994년,17.05
1993년,15.94
1992년,16.98
1991년,14.2
1990년,13.47
1989년,11.07
1988년,11.07
1987년,10.66
1986년,9.91
