특성,수천명의 인구
2021**,146238.2
2020,146745.1
2019,146780.7
2018,146880.4
2017년,146804.4
2016년,146544.7
2015년,146267.3
2014년,143666.9
2013년,143347.1
2012,143056.4
2011년,142865.4
2010**,142856.5
2009년,142737.2
2008년,142747.5
2007년,142862.7
2006년,143236.6
2005년,143801.0
2004년,144333.6
2003년,144963.6
2002**,145166.7
2002년,145649.3
2001년,146303.6
2000,146890.1
1999년,147539.4
1998년,147802.1
1997년,148028.6
1996년,148291.6
1995년,148459.9
1990년,147665.1
1989**,147021.9
1985년,142539.0
1980년,138126.6
1979**,137409.9
1975년,133633.9
1970**,129941.2
1965년,126309.1
1960년,119045.8
1959**,117534.3
