특성,국내 총생산(단위: 10억 달러)
2026*,590.86
2025*,547.15
2024*,506.7
2023*,469.25
2022*,434.65
2021*,402.64
2020,362.24
2019,376.8
2018,346.84
2017년,328.48
2016년,318.63
2015년,306.45
2014년,297.48
2013년,283.9
2012,261.92
2011년,234.22
2010년,208.37
2009년,176.13
2008년,181.01
2007년,155.98
2006년,127.65
2005년,107.42
2004년,95.0
2003년,87.04
2002년,84.31
2001년,78.92
2000,83.67
1999년,86.06
1998년,74.85
1997년,94.65
1996년,95.3
1995년,85.29
1994년,73.76
1993년,62.6
1992년,61.03
1991년,52.37
1990년,51.05
1989년,49.18
1988년,43.76
1987년,38.34
1986년,34.5
