특성,10억 위안의 재산
마윤과 가족(알리바바),27.5
마화텡(텐센트),26.0
쉬 지아인(Evergrande),21.0
He Xiangjian & He Jianfeng (Midea),18.0
양휘옌과 가족(컨트리 가든),17.5
Sun Piaoyang 및 가족 (Hengrui Medicine),17.5
Huang Zheng (핀둬둬 온라인 쇼핑),13.5
딩 레이(NetEase),12.5
Yan Hao 가족(차이나 퍼시픽 건설),12.0
왕젠린(Wang Jianlin)과 가족(완다),12.0
장용 & 슈핑(HaiDiLao),12.0
왕웨이(Shunfeng Express),11.0
장즈둥(텐센트),10.5
Chen Jianhua 및 가족(Hengli),10.5
Qin Yinglin & Qian Ying (양돈업),10.0
장진둥(쑤닝),10.0
야오 젠화(바오넝),10.0
리 슈푸(Li Shufu)와 가족(Geely),10.0
왕웬인(Amer),10.0
쉬롱마오(Xu Rongmao) 가족(시마오),9.5
장이밍(ByteDance),9.5
린 리(Liye),9.5
