특성,백분율 변화*
6월 20일,78.3%
5월 20일,58.5%
4월 20일,34.8%
3월 20일,17.8%
2월 20일,4.5%
1월 20일,-0.7%
12월 19일,8.1%
11월 19일,-5.6%
10월 19일,4.2%
9월 19일,2.7%
8월 19일,6.2%
7월 19일,11.1%
6월 19일,13.2%
5월 19일,8.4%
4월 19일,16.9%
3월 19일,9.8%
2월 19일,16.4%
1월 19일,12.3%
12월 18일,12.6%
11월 18일,14.8%
10월 18일,19.2%
9월 18일,18.6%
8월 18일,17.5%
7월 18일,18%
6월 18일,22%
5월 18일,26.7%
4월 18일,18.7%
3월 18일,21.2%
2월 18일,16.3%
1월 18일,18.2%
12월 17일,16.6%
11월 17일,13.7%
10월 17일,10.4%
9월 17일,15%
8월 17일,17.4%
7월 17일,18.3%
6월 17일,13.5%
5월 17일,13.7%
4월 17일,14.3%
3월 17일,21.1%
2월 17일,18.7%
1월 17일,17.8%
12월 16일,17.4%
11월 16일,19.3%
