특성,교역량(10억 달러)
운송 장비,415.63
컴퓨터 및 전자 제품,390.97
화학,262.78
기계류(전기 제외),188.72
기타 제조 상품,130.02
석유 가스,123.96
"전기 장비, 가전제품 및 부품",123.03
반품 또는 재수입된 상품,92.37
의류 및 액세서리,89.67
1차 금속제품,86.09
가공된 금속 제품,76.15
석유 및 석탄 제품,73.44
식품 및 유사품,68.56
플라스틱 및 고무 제품,59.32
가구 및 비품,42.54
가죽 및 관련 제품,39.47
농산물,38.54
음료 및 담배,26.44
비금속 광물 제품,24.09
섬유 공장 제품,23.51
"특별 분류 조항, Nspf",22.94
종이 제품,21.24
목재 제품,18.37
신선하거나 냉장된 생선; 및 기타 수산물,16.05
중고 또는 중고 상품,13.1
섬유 및 직물,8.21
축산물 및 축산물,6.61
스크랩 및 폐기물,6.55
광물 및 광석,6.1
"인쇄, 출판 및 유사 제품",5.9
"임업 제품, Nspf",2.62
