특성,GDP(10억 달러)
2026*,4534.34
2025*,4199.01
2024*,3884.73
2023*,3591.03
2022*,3312.95
2021,3049.7
2020,2708.77
2019,2870.5
2018,2701.11
2017년,2651.47
2016년,2294.12
2015년,2103.59
2014년,2039.13
2013년,1856.72
2012,1827.64
2011년,1823.05
2010년,1708.46
2009년,1365.37
2008년,1224.1
2007년,1238.7
2006년,949.12
2005년,834.22
2004년,721.59
2003년,618.37
2002년,523.77
2001년,493.93
2000,476.64
1999년,466.84
1998년,428.77
1997년,423.19
1996년,399.79
1995년,366.6
1994년,333.01
1993년,284.19
1992년,293.26
1991년,274.84
1990년,326.61
1989년,300.19
1988년,299.65
1987년,283.75
1986년,252.75
