특성,분기별 수익(단위: 천 유로)
2020년 2분기,17224793
2020년 1분기,17975321
2019년 4분기,22425402
2019년 3분기,18070107
2019년 2분기,19867971
2019년 1분기,17293898
2018년 4분기,21023544
2018년 3분기,16559635
2018년 2분기,18670561
2018년 1분기,15514118
2017년 4분기,19011002
2017년 3분기,15964055
2017년 2분기,17740506
2017년 1분기,15132131
2016년 4분기,18727483
2016년 3분기,15156284
2016년 2분기,17177333
2016년 1분기,14125894
2015년 4분기,17483164
2015년 3분기,14420465
2015년 2분기,16488096
2015년 1분기,13488824
2014년 4분기,17296599
2014년 3분기,13936142
2014년 2분기,16040768
2014년 1분기,14430335
