특성,10억 달러로 평가
"Tanium(엔터프라이즈 소프트웨어, 실리콘밸리)",6.7
"COMPASS (전자상거래, 뉴욕)",6.4
"Houzz (인터넷, 실리콘밸리)",4.0
"TripActions(인터넷, 실리콘밸리)",4.0
"Gusto(B2B/엔터프라이즈 소프트웨어, 실리콘밸리)",3.8
"wework (코워킹, 뉴욕)",2.9
"Monday.com(B2B/엔터프라이즈 소프트웨어, 이스라엘)",2.7
"Via (소프트웨어/운송, 뉴욕)",2.25
"Taboola / Outbrain (광고, 뉴욕)",2.0
"Avant (핀테크, 시카고)",2.0
"레모네이드(보험, 이스라엘)",2.0
"Landa (디지털 인쇄, 이스라엘)",1.8
"WalkMe(B2B 소프트웨어, 실리콘밸리)",1.8
"INFINIDAT(데이터 스토리지, 이스라엘)",1.6
"AppsFlyer (광고, 이스라엘)",1.6
"Payoneer(금융 서비스, 뉴욕)",1.5
"Gett(교통, 이스라엘)",1.5
"ironSource(디지털 광고, 이스라엘)",1.5
"Insightec (헬스케어, 이스라엘)",1.3
"Infi (핀테크, 이스라엘)",1.25
"Moon Active(게임, 이스라엘)",1.25
"Rapyd (핀테크, 런던)",1.2
"VAST Data (데이터 저장/소프트웨어, 뉴욕)",1.2
"TangoMe(커뮤니케이션, 실리콘밸리)",1.1
"Trax (B2B 소프트웨어, 싱가포르)",1.1
"SentinentalOne (사이버보안, 실리콘밸리)",1.1
