특성,GDP(10억 달러)
2026*,122363.46
2025*,116469.81
2024*,110882.23
2023*,105476.85
2022*,100104.69
2021*,93863.85
2020,84537.69
2019,87345.3
2018,85893.4
2017년,80833.69
2016년,76158.88
2015년,74936.57
2014년,79155.31
2013년,77084.13
2012,74910.85
2011년,73524.03
2010년,66240.98
2009년,60575.37
2008년,63931.56
2007년,58295.63
2006년,51651.46
2005년,47690.61
2004년,44028.68
2003년,39118.7
2002년,34851.94
2001년,33719.32
2000,33985.7
1999년,32897.66
1998년,31775.92
1997년,31930.9
1996년,32017.14
1995년,31149.85
1994년,27944.24
1993년,25997.78
1992년,25307.93
1991년,24452.47
1990년,23627.41
1989년,20080.47
1988년,19091.12
1987년,16987.61
1986년,14750.28
1985년,12505.64
