특성,중소기업 비율
2020년 4분기,33%
2020년 3분기,34%
2020년 2분기,19%
2020년 1분기,38%
2019년 4분기,45%
2019년 3분기,43%
2019년 2분기,48%
2019년 1분기,41%
2018년 4분기,37%
2018년 3분기,39%
2018년 2분기,40%
2018년 1분기,39%
2017년 4분기,39%
2017년 3분기,37%
2017년 2분기,33%
2017년 1분기,32%
2016년 4분기,37%
2016년 3분기,30%
2016년 2분기,33%
2016년 1분기,40%
2015년 4분기,42%
2015년 3분기,35%
2015년 2분기,31%
2015년 1분기,33%
2014년 4분기,34%
2014년 3분기,37%
2014년 2분기,43%
2014년 1분기,34%
2013년 4분기,39%
2013년 3분기,40%
2013년 2분기,47%
2013년 1분기,38%
2012년 4분기,37%
2012년 3분기,33%
2012년 2분기,38%
2012년 1분기,37%
2011년 4분기,42%
