특성,학생 수
나이지리아 국립 개방 대학교,470761
라고스 대학교,59257
일로린대학교,52497
"아마두 벨로 대학교, 자리아",48953
마이두구리 대학교,48160
"나이지리아 대학교, Nsukka",47171
베냉대학교,46110
마이클 옥파라 농업대학교,45350
"바이에로 대학교, 카노",43780
"Nnamdi Azikiwe 대학교, Awka",40342
포트하커트대학교,40335
나사라와 주립대학교 케피,34310
"아부자 대학교, 과그왈라다",33552
"암브로스 알리 대학교, 에크포마",33484
칼라바르대학교,33343
"Olabisi Onabanjo University, Ago Iwoye",31712
"Obafemi Awolowo 대학교, Ile-Ife",29334
"베누 주립대학교, 마쿠르디",26060
"Ladoke Akintola 기술 대학교, Ogbomoso",25118
"라고스 주립대학교, 오조",25100
"에보니 주립대학교, 아바칼리키",25000
이바단대학교,24479
우요대학교,23873
"아비아 주립대학교, 우투루",23295
"이모 주립대학교, 오웨리",23282
"Modibbo Adama 기술 대학교, Yola",22838
에키티 주립대학교,22612
"연방 공과 대학, Owerri",22475
우스마누 단포디요 대학교,21964
델타 주립대학교 아브라카,21291
아쿵바 아데쿤레 아자신 대학교,20644
"연방 공과 대학, 민나",20620
타이 솔라린 교육대학교 이제부 송가,20295
에누구 주립과학기술대학교 에누구,20059
