특성,국내 총생산(단위: 10억 달러)
2026*,967.72
2025*,929.41
2024*,894.23
2023*,851.06
2022*,810.67
2021*,759.1
2020,668.51
2019,612.17
2018,609.2
2017년,590.73
2016년,543.08
2015년,534.52
2014년,535.33
2013년,512.94
2012,495.61
2011년,483.97
2010년,444.28
2009년,390.83
2008년,415.9
2007년,406.91
2006년,386.45
2005년,374.06
2004년,346.92
2003년,317.38
2002년,307.44
2001년,299.28
2000,330.68
1999년,303.83
1998년,279.96
1997년,303.28
1996년,292.49
1995년,279.06
1994년,256.25
1993년,236.34
1992년,222.91
1991년,187.14
1990년,116.62
1989년,152.7
1988년,126.47
1987년,105.04
1986년,78.2
