특성,허가 차량 수
'19년 3분기,592
2019년 2분기,593
'19년 1분기,598
'18년 4분기,610
'18년 3분기,608
'18년 2분기,616
'18년 1분기,609
'17년 4분기,626
'17년 3분기,627
2017년 2분기,632
'17년 1분기,634
'16년 4분기,631
'16년 3분기,631
'16년 2분기,630
'16년 1분기,623
'15년 4분기,598
'15년 3분기,618
'15년 2분기,620
'15년 1분기,581
'14년 4분기,555
'14년 3분기,582
'14년 2분기,569
'14년 1분기,584
'13년 4분기,591
'13년 3분기,581
'13년 2분기,563
'13년 1분기,535
'12년 4분기,494
'12년 3분기,443
2012년 2분기,371
'12년 1분기,224
'11년 4분기,216
'11년 3분기,214
'11년 2분기,216
'11년 1분기,225
'10년 4분기,221
'10년 3분기,214
'10년 2분기,217
'10년 1분기,222
