특성,수백만 건의 Facebook 상호작용 수
2014 FIFA 월드컵(6월 12일~7월 13일),3000
2016 리우올림픽(2016년 8월 5~21일),1500
2015 크리켓 월드컵(1월 1일~3월 29일),700
2014년 브라질 대통령 선거,674
2015 브라질 카니발(2월 13일~2월 17일),534
"2014 FIFA 월드컵(토너먼트 첫 주, 6월 12~18일)",459
인도 프리미어 리그 10(IPL 10) 2017년 4월~5월,350
2015 인디언 프리미어 리그(IPL) 시즌 8(4월 1일~5월 8일),312
2015 코파 아메리카(2015년 6월 1일~7월 4일),309
슈퍼볼 XLIX(2015년 2월 1일),265
슈퍼볼 XLVIII(2014년 2월 2일),185
NBA 결승전(2015년 6월 4~16일),173
2016 월드 시리즈(10월 25일 - 11월 2일),150
2014 소치 동계올림픽,120
메이웨더 대 파퀴아오(2015년 5월 2일),115
2014 FIFA 월드컵 결승전 - 아르헨티나 대 독일(7월 13일),88
2015 NCAA 토너먼트(3월 15일~4월 6일),76
2015 UEFA 챔피언스리그 결승전 (2015년 6월 6일),76
제88회 아카데미 시상식(2016년 2월 24일),67
2014 FIFA 월드컵 준결승 - 브라질 대 독일(7월 8일),66
