특성,국내 총생산(단위: 10억 달러)
2026*,69.12
2025*,66.42
2024*,63.7
2023*,61.09
2022*,58.5
2021*,55.46
2020*,55.71
2019,62.21
2018,64.77
2017년,64.23
2016년,57.24
2015년,53.28
2014년,57.24
2013년,57.53
2012,51.27
2011년,47.96
2010년,40.29
2009년,31.66
2008년,30.37
2007년,23.46
2006년,19.62
2005년,17.4
2004년,13.71
2003년,12.07
2002년,13.63
2001년,20.91
2000,22.83
1999년,24.0
1998년,25.39
1997년,23.97
1996년,22.66
1995년,21.31
1994년,19.3
1993년,16.57
1992년,14.22
1991년,12.38
1990년,10.27
1989년,8.83
1988년,8.38
1987년,8.1
1986년,6.47
