특성,국내 총생산(단위: 10억 달러)
2026*,74.83
2025*,70.36
2024*,66.06
2023*,61.68
2022*,58.17
2021*,55.09
2020*,49.08
2019,50.42
2018,47.1
2017년,37.62
2016년,36.64
2015년,37.92
2014년,35.91
2013년,32.68
2012,29.32
2011년,25.84
2010년,21.57
2009년,18.7
2008년,19.71
2007년,16.74
2006년,14.38
2005년,12.07
2004년,10.28
2003년,9.02
2002년,8.72
2001년,7.25
2000,19.08
1999년,19.15
1998년,21.09
1997년,28.82
1996년,32.1
1995년,25.02
1994년,25.75
1993년,47.45
1992년,36.33
1991년,40.25
1990년,41.45
1989년,40.01
1988년,39.31
1987년,33.93
1986년,35.84
