특성,전년대비 인플레이션율
2026*,1.48%
2025*,1.47%
2024*,1.35%
2023*,1.13%
2022*,0.76%
2021*,0.17%
2020*,-0.18%
2019,0.57%
2018,0.44%
2017년,0.58%
2016년,-0.53%
2015년,-0.52%
2014년,1.03%
2013년,2.36%
2012,4.58%
2011년,5.25%
2010년,2.82%
2009년,0.6%
2008년,6.63%
2007년,2.11%
2006년,0.96%
2005년,0.47%
2004년,1.67%
2003년,0.49%
2002년,-0.39%
2001년,1.02%
2000,1.35%
1999년,0.02%
1998년,-0.27%
1997년,2.02%
1996년,1.38%
1995년,1.73%
1994년,3.1%
1993년,2.29%
1992년,2.24%
1991년,3.44%
1990년,3.45%
1989년,2.29%
1988년,1.52%
1987년,0.48%
1986년,-1.38%
