특성,매출 10억엔
2021년 1분기,88.31
2020년 4분기,66.38
2020년 3분기,79.41
2020년 2분기,64.5
2020년 1분기,82.8
2019년 4분기,49.24
2019년 3분기,52.36
2019년 2분기,53.9
2019년 1분기,93.08
2018년 4분기,46.08
2018년 3분기,69.33
2018년 2분기,47.79
2018년 1분기,90.51
2017년 4분기,52.68
2017년 3분기,60.4
2017년 2분기,47.06
2017년 1분기,74.79
2016년 4분기,43.25
2016년 3분기,44.26
2016년 2분기,38.12
2016년 1분기,57.5
2015년 4분기,45.82
2015년 3분기,49.81
2015년 2분기,42.66
2015년 1분기,51.97
2014년 4분기,42.93
2014년 3분기,45.61
2014년 2분기,36.89
2014년 1분기,47.49
2013년 4분기,34.47
2013년 3분기,39.88
2013년 2분기,36.62
2013년 1분기,44.36
2012년 4분기,30.88
2012년 3분기,24.26
2012년 2분기,22.88
2012년 1분기,30.38
2011년 4분기,22.19
2011년 3분기,24.16
2011년 2분기,20.46
2011년 1분기,20.81
