특성,판매된 사본
소리시 에 칸초니 TV,402638
세티마날레 디피우',342126
텔레세트,299560
베네르디 디 레푸블리카,228604
이오 도나,224887
파미글리아 크리스티아나,201262
겐테,198607
에스프레소,197381
D 라 레푸블리카 델레 돈네,187529
디퓨' TV,178015
오기,167374
세티마날레 누오보,152630
인티미타',124164
새로운 Guida TV,115300
디바 에 도나,113883
엘르,105531
도나 모데나,97448
치,96503
그라치아,89010
에프,88634
텔레퓨',88600
그랜드 호텔,82494
스포츠 주간,80285
TV 미아,74220
허영 박람회,70942
누오보 TV,69440
Settimanale Dipiu' e Dipiu' TV 주방,65090
파노라마,54519
지알로,53855
돌로미텐 매거진,50083
밀라노 피난자,38958
비밀을 털어놓다,38401
투 스타일,36582
비베르사니 에 벨리,34945
Ci piace cucinare!,28007
자동 질주,10433
FF- Sudtiroler 매거진,8480
모토스프린트,7891
