특성,백만 달러 단위의 수익
2021년 1분기,26171
2020년 4분기,28072
2020년 3분기,21470
2020년 2분기,18687
2020년 1분기,17737
'19년 4분기,21082
'19년 3분기,17652
2019년 2분기,16886
'19년 1분기,15077
'18년 4분기,16914
'18년 3분기,13727
'18년 2분기,13231
'18년 1분기,11966
'17년 4분기,12972
'17년 3분기,10328
2017년 2분기,9321
'17년 1분기,8032
'16년 4분기,8809
'16년 3분기,7011
'16년 2분기,6436
'16년 1분기,5382
'15년 4분기,5841
'15년 3분기,4501
'15년 2분기,4042
'15년 1분기,3543
'14년 4분기,3851
'14년 3분기,3203
'14년 2분기,2910
'14년 1분기,2502
'13년 4분기,2585
'13년 3분기,2016
'13년 2분기,1813
'13년 1분기,1458
'12년 4분기,1585
'12년 3분기,1262
2012년 2분기,1184
'12년 1분기,1058
'11년 4분기,1131
