특성,국내 총생산(단위: 10억 달러)
2026*,1040.2
2025*,988.21
2024*,949.87
2023*,905.18
2022*,874.16
2021*,824.73
2020*,747.43
2019,732.19
2018,736.43
2017년,704.77
2016년,695.46
2015년,679.75
2014년,709.47
2013년,688.72
2012,667.9
2011년,699.66
2010년,583.07
2009년,541.62
2008년,553.83
2007년,480.27
2006년,431.13
2005년,408.67
2004년,393.6
2003년,353.15
2002년,301.5
2001년,278.69
2000,272.18
1999년,289.55
1998년,294.83
1997년,286.56
1996년,330.24
1995년,342.76
1994년,292.68
1993년,264.18
1992년,271.58
1991년,261.2
1990년,258.02
1989년,202.21
1988년,209.37
1987년,193.38
1986년,154.45
