특성,시장 점유율
12월 20일,5.64%
11월 20일,6.87%
10월 20일,7.72%
9월 20일,7.17%
8월 20일,6%
7월 20일,5.86%
6월 20일,6.58%
5월 20일,9.89%
4월 20일,5.92%
3월 20일,6.67%
2월 20일,7.22%
1월 20일,7.46%
12월 19일,6.46%
11월 19일,6.64%
10월 19일,7.9%
9월 19일,8.86%
8월 19일,5.44%
7월 19일,7.67%
6월 19일,6.69%
5월 19일,7.85%
4월 19일,7.29%
3월 19일,7.32%
2월 19일,7.43%
1월 19일,7.61%
12월 18일,7.89%
11월 18일,7.18%
10월 18일,7.63%
9월 18일,8.9%
8월 18일,5.17%
7월 18일,6.95%
6월 18일,6.35%
5월 18일,6.95%
4월 18일,7.06%
3월 18일,7%
2월 18일,7.53%
1월 18일,7.27%
12월 17일,6.84%
11월 17일,7.38%
10월 17일,7.67%
9월 17일,7.37%
8월 17일,6.2%
7월 17일,7.17%
6월 17일,6.46%
5월 17일,7.87%
4월 17일,8.78%
3월 17일,6.35%
2월 17일,7.34%
1월 17일,7.47%
