특성,TV 시청률
챔피언십 게임 - 켄터키 대 코네티컷(4월 7일),12.4
결승 4 - 켄터키 대 위스콘신(4월 5일),9.2
결승 4 - 코네티컷 대 플로리다(4월 5일),6.9
엘리트 8 - 켄터키 대 미시간(3월 30일),8.9
엘리트 8 - 코네티컷 대 미시간 스트리트(3월 30일),6.1
엘리트 8 - 위스콘신 대 애리조나(3월 29일),5.8
엘리트 8 - 데이턴 vs. 플로리다(3월 29일),4.3
스위트 16 - 켄터키 대 루이빌(3월 28일),5.9
스위트 16 - 테네시 대 미시간(3월 28일),5.0
스위트 16 - UCLA 대 플로리다(3월 27일),4.7
스위트 16 - 데이턴 대 스탠포드(3월 27일),4.6
스위트 16 - 미시간 세인트 vs. 버지니아(3월 28일),3.0
스위트 16 - SDSU 대 애리조나(3월 27일),2.0
스위트 16 - 베일러 vs. 위스콘신 (3월 27일),1.9
스위트 16 - 코네티컷 대 아이오와 스트리트(3월 28일),1.8
