특성,전년 대비 변화
2021년 1분기,25%
2020년 4분기,6%
2020년 3분기,8%
2020년 2분기,-1%
2020년 1분기,-22%
'19년 4분기,삼%
'19년 3분기,삼%
2019년 2분기,1%
'19년 1분기,15%
'18년 4분기,22%
'18년 3분기,27%
'18년 2분기,32%
'18년 1분기,31%
'17년 4분기,29%
'17년 3분기,29%
2017년 2분기,14.3%
'17년 1분기,6.8%
'16년 4분기,-2.6%
'16년 3분기,-0.7%
'16년 2분기,10.2%
'16년 1분기,31.2%
'15년 4분기,33.1%
'15년 3분기,36%
'15년 2분기,38.4%
'15년 1분기,34%
'14년 4분기,47.5%
'14년 3분기,52%
'14년 2분기,58.2%
'14년 1분기,59.1%
'13년 4분기,50.3%
'13년 3분기,42.3%
'13년 2분기,38.6%
'13년 1분기,40%
'12년 4분기,41.6%
'12년 3분기,49.7%
2012년 2분기,59.8%
'12년 1분기,75%
'11년 4분기,82.5%
'11년 3분기,85.1%
'11년 2분기,78.4%
'11년 1분기,88.3%
'10년 4분기,94.4%
'10년 3분기,76.4%
'10년 2분기,74.4%
'10년 1분기,59.6%
