특성,전년도 대비 물가상승률
2026*,0.99%
2025*,0.99%
2024*,0.89%
2023*,0.79%
2022*,0.3%
2021*,0.07%
2020*,-0.73%
2019,0.36%
2018,0.94%
2017년,0.53%
2016년,-0.43%
2015년,-1.14%
2014년,-0.01%
2013년,-0.22%
2012,-0.69%
2011년,0.23%
2010년,0.69%
2009년,-0.48%
2008년,2.43%
2007년,0.74%
2006년,1.06%
2005년,1.17%
2004년,0.8%
2003년,0.64%
2002년,0.64%
2001년,0.99%
2000,1.56%
1999년,0.81%
1998년,0.02%
1997년,0.52%
1996년,0.81%
1995년,1.8%
1994년,0.85%
1993년,3.29%
1992년,4.04%
1991년,5.86%
1990년,5.4%
1989년,3.15%
1988년,1.87%
1987년,1.44%
1986년,0.74%
