특성,국내 총생산(단위: 10억 달러)
2026*,515.69
2025*,502.24
2024*,489.5
2023*,477.48
2022*,463.2
2021*,444.52
2020*,362.01
2019*,405.51
2018,437.0
2017년,398.39
2016년,368.83
2015년,385.8
2014년,498.41
2013년,522.76
2012,509.51
2011년,498.28
2010년,428.76
2009년,386.19
2008년,462.25
2007년,400.94
2006년,345.58
2005년,308.88
2004년,264.51
2003년,228.86
2002년,195.53
2001년,173.97
2000,171.25
1999년,162.29
1998년,154.16
1997년,161.36
1996년,163.52
1995년,152.03
1994년,127.13
1993년,120.58
1992년,130.84
1991년,121.87
1990년,119.79
1989년,102.63
1988년,101.9
1987년,94.23
1986년,78.69
