특성,응답자 비율
2021년 4월 11일,76%
2021년 3월 28일,77%
2021년 3월 14일,76%
2021년 2월 28일,78%
2021년 2월 14일,78%
2021년 1월 31일,77%
2021년 1월 17일,78%
2021년 1월 3일,78%
2020년 12월 20일,81%
2020년 12월 6일,80%
2020년 11월 22일,80%
2020년 11월 8일,79%
2020년 10월 25일,83%
2020년 10월 11일,80%
2020년 9월 27일,84%
2020년 9월 18일,83%
2020년 9월 13일,84%
2020년 8월 30일,84%
2020년 8월 20일,80%
2020년 8월 16일,83%
2020년 8월 7일,82%
2020년 8월 2일,82%
2020년 7월 22일,80%
2020년 7월 19일,83%
2020년 7월 9일,80%
2020년 7월 5일,84%
2020년 6월 24일,84%
2020년 6월 21일,83%
2020년 6월 9일,81%
2020년 6월 7일,83%
2020년 5월 29일,83%
2020년 5월 21일,87%
2020년 5월 13일,81%
2020년 5월 3일,83%
2020년 4월 26일,77%
2020년 4월 19일,77%
2020년 4월 12일,78%
2020년 4월 5일,75%
2020년 3월 29일,85%
2020년 3월 22일,78%
2020년 3월 15일,73%
2020년 3월 8일,72%
2020년 3월 1일,82%
2020년 2월 23일,80%
