특성,1인당 GDP(미국 달러)
2026*,888.47
2025*,853.6
2024*,816.61
2023*,777.63
2022*,710.33
2021*,632.63
2020*,565.87
2019*,553.91
2018*,572.56
2017*,517.77
2016*,497.88
2015*,484.22
2014*,564.74
2013*,552.58
2012*,530.08
2011*,512.5
2010년 *,477.26
2009년,463.55
2008년,478.45
2007년,390.33
2006년,336.3
2005년,321.9
2004년,286.36
2003년,268.28
2002년,228.08
2001년,208.38
2000,197.92
1999년,232.42
1998년,251.0
1997년,225.28
1996년,244.86
1995년,242.79
1994년,211.73
1993년,344.5
1992년,395.4
1991년,396.73
1990년,438.03
1989년,397.17
1988년,428.66
1987년,433.05
1986년,381.04
