브랜드/부문,부문 시장 판매의 점유율(%)
올레이 리제너리스트/페이셜 안티에이징,8.9%
Olay Regenerist 마이크로 스컬프팅/ 페이셜 안티에이징,7.3%
뉴트로지나 오일프리 아크네 워시/여드름 치료,11.9%
올레이 토탈 이펙트 7-in-1/ 페이셜 안티에이징,6.4%
로레알 리바이탈리프트/ 페이셜 안티에이징,5.7%
올레이/페이셜 클렌저,6.3%
뉴트로지나 래피드 링클 리페어/페이셜 안티에이징,4.5%
세타필/페이셜 클렌저,5.3%
올레이 컴플리트/ 페이셜 모이스처라이저,11.9%
올레이 에이지 디파잉/ 페이셜 안티에이징,4.3%
심플/페이셜 클렌저,5%
Nair/제모제,27.1%
존슨즈 클린앤클리어 모닝 버스트/페이셜 클렌저,4.5%
뉴트로지나 딥클린/페이셜 클렌저,4.3%
클리어라실 울트라래피드액션/여드름치료제,6.4%
뉴트로지나 모이스처/페이셜 모이스처라이저,8.9%
비오레/페이셜 클렌저,3.7%
가르니에 스킨리뉴/페이셜 안티에이징,삼%
RoC 레티놀 코렉션 딥링클/ 페이셜 안티에이징,2.9%
연못/페이셜 클렌저,3.5%
