특성,인구 10만명당 경찰관 수
"빅토리아, BC",214
퀘벡주 몬트리올,212
"핼리팩스, 뉴저지주",209
온타리오주 윈저,205
"썬더베이, 온타리오주",205
"밴쿠버, BC주",196
"에드먼턴, 알타.",188
"위니펙, 남자.",186
온타리오주 브랜트퍼드,178
"새스커툰, 사스크.",173
"레지나, 사스크.",170
"레드디어, 알타. (왕립 캐나다 기마 경찰)",166
"배리, 온타리오주",163
"토론토, 온타리오.",162
"캘거리, 알타.",162
"세인트 존스, N.L.",161
온타리오 주 채텀-켄트,156
"그레이터 서드베리, 온타리오주",155
온타리오주 킹스턴,154
"나이아가라 지역(세인트 캐서린), 온타리오",152
"델타, BC주",145
"롱괴이, Que.",145
"필 지역(미시소거/브램턴), 온타리오",144
온타리오 주 겔프,143
BC 주 킬로나,142
"런던, 온타리오",142
"써리, BC주",140
"가티노, 퀘.",139
"애보츠퍼드, BC",139
"라발, 퀘.",135
"요크 지역(Markham/Vaughan), 온타리오",134
"랭글리 타운십, BC주",133
"더럼 지역(오샤와/휘트비/아약스), 온타리오",132
"워털루 지역(키치너), 온타리오주",131
"Saguenay, Que.",126
BC주 사니치,125
퀘벡주 셔브룩,125
"퀘벡, 퀘벡",124
"Halton 지역(오크빌/벌링턴), 온타리오",123
"테레본, 퀘벡주",122
"오타와, 온타리오",121
"버나비, BC",118
"Trois-Rivières, Que.",118
"리치몬드, BC",117
"코디악 지역(멍크턴), N.B.",116
"코퀴틀람, BC주",114
"레비스, 퀘.",106
"루시용 지역, Que.",104
"리슐리외 생 로랑, Que.",102
