특성,판매된 단위
19년 12월,323
'19년 11월,257
19년 10월,311
'19년 9월,889
'19년 8월,407
'19년 7월,759
19년 6월,730
19년 5월,788
'19년 4월,704
'19년 3월,1481
'19년 2월,198
19년 1월,232
2018년 12월,289
2018년 11월,268
2018년 10월,324
2018년 9월,768
8월 '18,398
2018년 7월,749
2018년 6월,872
2018년 5월,698
2018년 4월,621
2018년 3월,1659
2018년 2월,164
2018년 1월,214
2017년 12월,266
2017년 11월,300
10월 '17,294
2017년 9월,822
8월 '17,375
7월 '17,583
6월 '17,702
5월 '17,688
2017년 4월,767
3월 '17,1156
2017년 2월,231
1월 '17,224
2016년 12월,519
2016년 11월,292
2016년 10월,307
2016년 9월,1123
8월 '16,460
7월 '16,619
6월 '16,738
5월 '16,692
2016년 4월,753
3월 '16,1161
2016년 2월,205
1월 '16,240
