특성,미화 1조 달러 규모의 부채
2021년 1분기,11.07
2020년 4분기,10.94
2020년 3분기,10.8
2020년 2분기,10.65
2020년 1분기,10.57
2019년 4분기,10.48
2019년 3분기,10.42
2019년 2분기,10.34
2019년 1분기,10.26
2018년 4분기,10.2
2018년 3분기,10.15
2018년 2분기,10.07
2018년 1분기,9.99
2017년 4분기,9.93
2017년 3분기,9.86
2017년 2분기,9.79
2017년 1분기,9.73
2016년 4분기,9.66
2016년 3분기,9.61
2016년 2분기,9.56
2016년 1분기,9.51
2015년 4분기,9.49
2015년 3분기,9.43
2015년 2분기,9.41
2015년 1분기,9.38
2014년 4분기,9.39
2014년 3분기,9.38
2014년 2분기,9.4
2014년 1분기,9.42
2013년 4분기,9.44
2013년 3분기,9.45
2013년 2분기,9.47
2013년 1분기,9.5
2012년 4분기,9.54
2012년 3분기,9.59
2012년 2분기,9.66
2012년 1분기,9.73
