특성,시장 점유율
2021년 1분기,16.5%
2020년 4분기,16.6%
2020년 3분기,15.2%
2020년 2분기,16.4%
2020년 1분기,19.3%
'19년 4분기,16.9%
'19년 3분기,16.5%
2019년 2분기,16.9%
'19년 1분기,16.9%
'18년 4분기,15.7%
'18년 3분기,15.9%
'18년 2분기,16.8%
'18년 1분기,16%
'17년 4분기,15%
'17년 3분기,15.2%
2017년 2분기,15.6%
'17년 1분기,15%
'16년 4분기,14.8%
'16년 3분기,14.7%
'16년 2분기,14.7%
'16년 1분기,14.2%
'15년 4분기,13.5%
'15년 3분기,13.5%
'15년 2분기,14%
'15년 1분기,12.8%
'14년 4분기,13.1%
'14년 3분기,12.7%
'14년 2분기,13.3%
'14년 1분기,12.6%
'13년 4분기,11.8%
'13년 3분기,11.6%
'13년 2분기,11.9%
'13년 1분기,11.2%
'12년 4분기,10.4%
'12년 3분기,10.5%
2012년 2분기,11.3%
'12년 1분기,11%
'11년 4분기,12.2%
'11년 3분기,11.2%
'11년 2분기,12.1%
'11년 1분기,11.4%
