특성,전년대비 인플레이션율
2026*,3.1%
2025*,3.1%
2024*,3.1%
2023*,3.1%
2022*,3.7%
2021*,4.9%
2020*,5.07%
2019,3.32%
2018,2.04%
2017년,0.66%
2016년,1.76%
2015년,1.28%
2014년,4.13%
2013년,6.37%
2012,4.26%
2011년,7.58%
2010년,5.98%
2009년,0.03%
2008년,7.63%
2007년,4.76%
2006년,6.55%
2005년,7.17%
2004년,10.47%
2003년,15.49%
2002년,10.63%
2001년,7.81%
2000,8.37%
1999년,128.41%
1998년,90.14%
1997년,19.54%
1996년,19.15%
1995년,19.08%
1994년,7.67%
1993년,5.65%
1992년,9.85%
1991년,13.44%
1990년,-26.32%
1989년,59.7%
1988년,14.8%
1987년,6.11%
1986년,35%
