회계 분기,백만 단위 판매
'14년 4분기,2.64
'14년 3분기,2.93
'14년 2분기,2.76
'14년 1분기,6.05
'13년 4분기,3.5
'13년 3분기,4.57
'13년 2분기,5.63
'13년 1분기,12.68
'12년 4분기,5.34
'12년 3분기,6.75
2012년 2분기,7.67
'12년 1분기,15.4
'11년 4분기,6.62
'11년 3분기,7.54
'11년 2분기,9.02
'11년 1분기,19.45
'10년 4분기,9.05
'10년 3분기,9.41
'10년 2분기,10.89
'10년 1분기,20.97
2009년 4분기,10.18
2009년 3분기,10.22
2009년 2분기,11.01
2009년 1분기,22.73
2008년 4분기,11.05
2008년 3분기,11.01
2008년 2분기,10.64
2008년 1분기,22.12
2007년 4분기,10.2
2007년 3분기,9.82
2007년 2분기,10.55
2007년 1분기,21.07
2006년 4분기,8.73
2006년 3분기,8.11
2006년 2분기,8.53
2006년 1분기,14.04
