특성,전년대비 인플레이션율
2026*,4.01%
2025*,3.93%
2024*,3.86%
2023*,3.81%
2022*,3.64%
2021*,2.91%
2020*,2.44%
2019,3.7%
2018,3.75%
2017년,4.43%
2016년,4.45%
2015년,2.39%
2014년,3.42%
2013년,4.34%
2012,3.78%
2011년,6.22%
2010년,3.86%
2009년,1.86%
2008년,11.36%
2007년,6.82%
2006년,6.56%
2005년,9.11%
2004년,7.58%
2003년,5.6%
2002년,8.14%
2001년,7.28%
2000,5.98%
1999년,5.21%
1998년,6.62%
1997년,9.24%
1996년,11.06%
1995년,8.41%
1994년,12.51%
1993년,13.36%
1992년,10.24%
1991년,35.11%
1990년,37.98%
1989년,12.99%
1988년,10.3%
1987년,10.85%
1986년,32.78%
