특성,구매 가격(단위: 백만 달러)
브루클린 네츠 (2019),3200
휴스턴 로키츠 (2017),2200
로스앤젤레스 클리퍼스 (2014),2000
유타 재즈 (2020),1700
애틀랜타 호크스 (2015),730
워싱턴 위저즈 (2010),551
밀워키 벅스 (2014),550
새크라멘토 킹스 (2013),534
골든스테이트 워리어스 (2010),450
피닉스 선즈(2004),404
토론토 랩터스 (2012),400
멤피스 그리즐리스 (2012),377
클리블랜드 캐벌리어스 (2005),375
보스턴 셀틱스 (2002),360
뉴올리언스 펠리컨스 (2012),338
디트로이트 피스톤스 (2011),325
오클라호마시티 썬더(2006),325
뉴욕 닉스 (1997),300
필라델피아 76ers (2011),287
댈러스 매버릭스 (2000),280
로스앤젤레스 레이커스 (1998),268
덴버 너게츠 (2000),202
샬럿 호네츠 (2010),175
미네소타 팀버울브스 (1995),89
올랜도 매직 (1991),85
샌안토니오 스퍼스 (1996),76
포틀랜드 트레일 블레이저스 (1988),70
마이애미 히트 (1988),33
시카고 불스 (1985),16
인디애나 페이서스(1983),11
