특성,GDP(10억 달러)
2026*,255.83
2025*,247.92
2024*,240.07
2023*,232.68
2022*,224.82
2021*,209.86
2020,189.26
2019,205.35
2018,212.35
2017년,200.06
2016년,192.81
2015년,196.69
2014년,237.41
2013년,239.93
2012,245.81
2011년,288.12
2010년,299.9
2009년,330.95
2008년,355.87
2007년,318.94
2006년,273.56
2005년,248.01
2004년,240.85
2003년,202.32
2002년,154.46
2001년,136.31
2000,132.2
1999년,149.41
1998년,144.64
1997년,143.33
1996년,145.87
1995년,136.94
1994년,116.68
1993년,109.02
1992년,116.47
1991년,105.63
1990년,97.96
1989년,79.25
1988년,74.45
1987년,65.68
1986년,56.42
