특성,국내 총생산(단위: 10억 달러)
2026*,118.05
2025*,113.91
2024*,110.13
2023*,106.81
2022*,103.87
2021*,100.6
2020*,96.67
2019,108.11
2018,107.56
2017년,104.3
2016년,99.94
2015년,99.29
2014년,101.73
2013년,95.13
2012,87.93
2011년,79.28
2010년,69.56
2009년,62.52
2008년,61.76
2007년,51.01
2006년,46.8
2005년,41.51
2004년,36.59
2003년,32.43
2002년,28.55
2001년,24.47
2000,18.32
1999년,19.74
1998년,27.47
1997년,27.01
1996년,24.04
1995년,22.97
1994년,21.15
1993년,17.54
1992년,15.01
1991년,13.73
1990년,12.24
1989년,12.05
1988년,12.28
1987년,12.91
1986년,13.82
