특성,백만 호주달러 단위의 가치
2021년 3월,0.5
2020년 12월,0.8
2020년 9월,1.2
2020년 6월,0.5
2020년 3월,0.5
2019년 12월,1.8
2019년 9월,2.1
2019년 6월,2.7
2019년 3월,1.2
2018년 12월,2.2
2018년 9월,3.3
2018년 6월,1.9
2018년 3월,2
2017년 12월,3.5
2017년 9월,1
2017년 6월,0.6
2017년 3월,0.4
2016년 12월,0.5
2016년 9월,0.2
2016년 6월,0.9
2016년 3월,0.3
2015년 12월,1.5
2015년 9월,1.6
2015년 6월,1.2
2015년 3월,0.9
2014년 12월,1.5
2014년 9월,1.8
2014년 6월,2.7
2014년 3월,2.5
2013년 12월,3.1
2013년 9월*,-
2013년 6월,1.7
2013년 3월,1.6
2012년 12월,1.6
2012년 9월,1.4
2012년 6월*,-
2012년 3월,1.1
2011년 12월,2.2
2011년 9월*,-
2011년 6월*,-
2011년 3월,0.6
