특성,청량음료 가격(미국 달러)
탬파베이 라이트닝 (20),6
보스턴 브루인스 (14),5.75
시카고 블랙호크스 (24),5.75
애너하임 덕스 (21),5.5
뉴욕 레인저스 (24),5.5
세인트 루이스 블루스 (20),5.5
로스앤젤레스 킹스 (21),5.25
플로리다 팬더스 (20),5
미네소타 와일드 (24),5
워싱턴 캐피탈스 (16),5
뉴욕 아일랜더스 (16),5
콜럼버스 블루 재킷 (22),4.75
캐롤라이나 허리케인스 (20),4.5
콜로라도 눈사태 (16),4.5
NHL 평균 (19),4.46
뉴저지 데블스 (16),4.25
위니펙 제츠 (16),4.24
필라델피아 플라이어스 (16),4
댈러스 스타즈 (16),4
디트로이트 레드윙스 (16),4
산호세 샤크스 (16),4
몬트리올 캐나디언스 (24),3.88
캘거리 플레임스 (20),3.61
밴쿠버 커넉스 (16),3.57
토론토 메이플 리프스 (14),3.57
오타와 세너터스 (20),3.57
에드먼턴 오일러스 (24),3.52
내슈빌 프레데터스 (16),3.5
버팔로 세이버스 (16),삼
피츠버그 펭귄스 (12),삼
피닉스 코요테 (16)**,-
