특성,응답자 비율
호텔 문을 닫았어,78.5%
호텔을 격리시설이나 의료진을 위한 호텔로 바꿔놨어요,2.8%
나는 직원들을 지원하기 위해 보조금을 신청할 계획입니다.,81%
3월에 계약직 직원을 해고했어요,38%
4월에 계약직 직원을 해고할 예정입니다.,43%
유휴시간에 계약직을 보냈어요,51%
기한이 지난 휴가와 현재 휴가를 받기 위해 계약 직원을 보냈습니다.,86%
3월에 계약자를 해고했어요,54%
4월에 계약자를 해고할 계획이에요,28%
유휴 시간에 계약자를 보냈습니다.,27%
나는 연체된 휴가와 현재 휴가를 받기 위해 계약자를 보냈습니다.,15%
나는 계약자를 지원하기 위해 보조금을 신청할 계획입니다.,35%
상품권을 발행했어요,73%
180일 동안 보증금 환불을 연기했습니다.,70%
예약을 취소하고 보증금을 돌려받았습니다,86%
사회보장기여금(ZUS) 취소를 신청했습니다.,72%
사회보장기여금(ZUS) 연기를 요청했습니다.,63%
PIT 연기를 요청했습니다,72%
부가가치세 유예를 요청했습니다,70%
CIT 연기를 요청했습니다,59%
나는 토지 임대료 지불에 대한 도움을 신청해 왔습니다,21%
재산세 납부에 대한 도움을 신청해 왔습니다,67%
폐기물 처리 비용에 대한 도움을 신청해 왔습니다,48%
