특성,덜,확률은 높지도 낮지도 않음,모른다/의견 없음,가능성이 더 높음
공연 보러 간다,63%,23%,10%,6%
대중교통을 이용하세요,63%,21%,11%,5%
영화관에 가다,62%,24%,9%,6%
놀이공원에 가다,62%,23%,10%,6%
연극 공연 보러 가기,62%,24%,10%,5%
스포츠 행사로 이동,61%,24%,11%,5%
박물관에 가다,61%,24%,11%,5%
쇼핑몰에 가보세요,60%,24%,8%,7%
파티나 사교 행사에 가보세요,59%,26%,9%,5%
체육관으로 이동,59%,25%,11%,5%
정치집회에 가다,58%,26%,12%,5%
차량 공유 서비스를 이용하세요,57%,25%,12%,6%
레스토랑이나 카페에 가서 식사를 하세요.,56%,28%,7%,9%
휴가를 떠나세요,51%,30%,9%,11%
업무 회의에 가다,51%,29%,16%,4%
종교 모임이나 모임에 가보세요,50%,31%,11%,8%
식료품점에 가세요,40%,40%,7%,12%
주식 시장에 투자하세요,37%,39%,18%,7%
정치 선거에 투표하세요,33%,41%,11%,15%
