특성,국내 총생산(단위: 10억 달러)
2026*,627.01
2025*,599.57
2024*,572.85
2023*,545.82
2022*,515.45
2021*,476.66
2020*,418.72
2019,398.38
2018,386.69
2017년,337.55
2016년,299.15
2015년,291.56
2014년,259.1
2013년,238.22
2012,224.95
2011년,237.7
2010년,222.46
2009년,236.5
2008년,276.09
2007년,270.15
2006년,232.05
2005년,211.8
2004년,194.33
2003년,164.62
2002년,128.51
2001년,109.25
2000,10.0
1999년,98.87
1998년,90.24
1997년,82.91
1996년,75.88
1995년,69.22
1994년,55.81
1993년,51.33
1992년,54.88
1991년,48.81
1990년,48.17
1989년,38.01
1988년,36.85
1987년,33.64
1986년,28.5
