특성,백만 유로로 이적료 지불
우스만 뎀벨레 (17/18 - FC 바르셀로나),130.0
카이 하베르츠 (20/21 - FC 첼시),80.0
루카스 에르난데스 (19/20 - FC 바이에른 뮌헨),80.0
케빈 데 브라위너(15/16 - 맨체스터 시티),76.0
크리스티안 풀리시치 (18/19 - 첼시 FC),64.0
피에르-에메릭 오바메양(17/18 - FC 아스날),63.75
루카 요비치 (19/20 - 레알 마드리드),60.0
나비 케이타 (18/19 - 리버풀 FC),60.0
티모 베르너 (20/21 - FC 첼시),53.0
르로이 사네 (16/17 - 맨체스터 시티),52.0
세바스티앙 할러 (19/20 - 웨스트햄 유나이티드),50.0
르로이 사네 (20/21 - FC 바이에른 뮌헨),45.0
그라니트 자카(16/17 - 아스날 FC),45.0
조엘린턴 (19/20 - 뉴캐슬 유나이티드),44.0
율리안 드락슬러(15/16 - VfL 볼프스부르크),43.0
헨리크 미키타리안(16/17 - 맨체스터 유나이티드),42.0
코렌틴 톨리소 (17/18 - FC 바이에른 뮌헨),41.5
로베르토 피르미누 (15/16 - 리버풀 FC),41.0
더글라스 코스타 (18/19 - 유벤투스 토리노),40.0
하비 마르티네즈 (12/13 - FC 바이에른 뮌헨),40.0
아르투로 비달 (15/16 - FC 바이에른 뮌헨),39.25
틸로 케러(18/19 - 파리 생제르맹),37.0
마리오 괴체 (13/14 - FC 바이에른 뮌헨),37.0
에딘 제코 (10/11 - 맨체스터 시티),37.0
율리안 드락슬러(16/17 - 파리 생제르맹),36.0
