특성,전년대비 인플레이션율
2026*,7.35%
2025*,7.48%
2024*,7.49%
2023*,7.45%
2022*,7.2%
2021*,4.79%
2020,5.7%
2019,13.88%
2018,20.85%
2017년,23.53%
2016년,10.21%
2015년,10.99%
2014년,10.1%
2013년,6.91%
2012,8.65%
2011년,11.09%
2010년,11.69%
2009년,16.24%
2008년,11.7%
2007년,10.96%
2006년,4.2%
2005년,8.83%
2004년,8.11%
2003년,3.21%
2002년,2.43%
2001년,2.43%
2000,2.85%
1999년,3.75%
1998년,5.04%
1997년,6.17%
1996년,7.1%
1995년,9.36%
1994년,9.05%
1993년,11.04%
1992년,21.14%
1991년,14.74%
1990년,21.22%
1989년,20.13%
1988년,15.19%
1987년,25.19%
1986년,23.9%
