특성,국내 총생산(단위: 10억 달러)
2026*,198.84
2025*,190.78
2024*,183.6
2023*,178.28
2022*,174.38
2021*,166.03
2020*,146.09
2019,175.84
2018,183.34
2017년,161.1
2016년,151.73
2015년,161.74
2014년,206.23
2013년,198.73
2012,186.83
2011년,167.78
2010년,119.71
2009년,88.2
2008년,112.62
2007년,75.99
2006년,58.63
2005년,44.64
2004년,30.65
2003년,23.72
2002년,19.33
2001년,17.5
2000,18.09
1999년,11.27
1998년,8.49
1997년,9.98
1996년,7.76
1995년,6.86
1994년,5.95
1993년,5.8
1992년,6.38
1991년,5.58
1990년,6.27
1989년,4.5
1988년,4.26
1987년,4.44
1986년,4.21
