특성,전년대비 인플레이션율
2026*,5.4%
2025*,5.5%
2024*,5.7%
2023*,6%
2022*,5.7%
2021*,5.4%
2020,4.19%
2019,5.62%
2018,8.6%
2017년,8.59%
2016년,6.06%
2015년,7.4%
2014년,6.08%
2013년,5.83%
2012,5.71%
2011년,9.48%
2010년,9.25%
2009년,8.95%
2008년,9.3%
2007년,10.29%
2006년,10.77%
2005년,18.36%
2004년,13.96%
2003년,-1.7%
2002년,16.5%
2001년,7.92%
2000,10.67%
1999년,8.06%
1998년,6.21%
1997년,4.49%
1996년,19.76%
1995년,49.04%
1994년,38.99%
1993년,9.99%
1992년,14.57%
1991년,8.54%
1990년,11.86%
1989년,9.02%
1988년,23.34%
1987년,15.46%
1986년,14.49%
