특성,전년대비 인플레이션율
2026*,4.5%
2025*,4.5%
2024*,4.5%
2023*,4.5%
2022*,4.47%
2021*,4.28%
2020,3.27%
2019,4.13%
2018,4.62%
2017년,5.27%
2016년,6.34%
2015년,4.58%
2014년,6.09%
2013년,5.76%
2012,5.62%
2011년,4.99%
2010년,4.26%
2009년,7.12%
2008년,10.99%
2007년,7.15%
2006년,4.62%
2005년,3.35%
2004년,1.43%
2003년,5.87%
2002년,9.15%
2001년,5.64%
2000,5.39%
1999년,5.08%
1998년,6.98%
1997년,8.63%
1996년,7.35%
1995년,8.75%
1994년,8.84%
1993년,9.66%
1992년,14.06%
1991년,15.21%
1990년,14.21%
1989년,14.76%
1988년,12.94%
1987년,16.23%
1986년,18.41%
