특성,수백만 개의 Tumblr 블로그 수
2020년 4월,496.1
2020년 1월,488.1
19년 10월,480.1
'19년 7월,471.6
'19년 4월,463.5
19년 1월,456.1
18년 10월,441.4
'18년 7월,425.7
'18년 4월,409.0
'18년 1월,391.9
'17년 10월,373.0
'17년 7월,357.7
'17년 4월,345.0
'17년 1월,332.8
'16년 10월,319.8
'16년 7월,305.9
'16년 4월,291.7
'16년 1월,275.9
'15년 10월,260.5
'15년 7월,246.6
'15년 4월,227.1
'15년 1월,220.8
'14년 10월,207.3
'14년 7월,195.1
'14년 4월,181.1
'14년 1월,166.3
'13년 10월,141.4
'13년 7월,122.4
'13년 4월,101.8
'13년 1월,88.6
'12년 10월,76.4
'12년 7월,62.6
'12년 3월,50.0
'11년 9월,28.0
2011년 5월,17.5
