특성,GDP 비중
2020년 1분기,99.6%
2019년 4분기,90%
2019년 3분기,93.8%
2019년 2분기,82%
2019년 1분기,77%
2018년 4분기,71.9%
2018년 3분기,65%
2018년 2분기,60.2%
2018년 1분기,61%
2017년 4분기,59.8%
2017년 3분기,56.1%
2017년 2분기,59.5%
2017년 1분기,61.2%
2016년 4분기,61.2%
2016년 3분기,68.8%
2016년 2분기,63.7%
2016년 1분기,58%
2015년 4분기,48.9%
2015년 3분기,49.1%
2015년 2분기,45%
2015년 1분기,59.9%
2014년 4분기,44.5%
2014년 3분기,36.2%
2014년 2분기,31.9%
2014년 1분기,28.1%
2013년 4분기,30.7%
2013년 3분기,28.3%
2013년 2분기,29.4%
2013년 1분기,31.4%
2012년 4분기,26.1%
2012년 3분기,24.6%
2012년 2분기,20.3%
2012년 1분기,20%
