특성,미화 백만 달러 규모의 스포츠 베팅 처리
'21년 3월,640.98
'21년 2월,554.06
'21년 1월,646.49
2020년 12월,588.49
'20년 11월,609.38
2020년 10월,659.9
2020년 9월,575.14
'20년 8월,474.95
2020년 7월,165.55
2020년 6월,78.15
2020년 4월 및 5월,56.26
2020년 3월,141.11
2020년 2월,489.11
2020년 1월,502.54
19년 12월,571.18
'19년 11월,614.12
19년 10월,543.55
'19년 9월,546.36
'19년 8월,287.76
'19년 7월,235.66
19년 6월,322.08
19년 5월,317.38
'19년 4월,328.12
'19년 3월,596.75
'19년 2월,458.59
19년 1월,497.48
'18년 12월,561.86
'18년 11월,581.07
18년 10월,528.57
'18년 9월,571.03
'18년 8월,247.62
'18년 7월,244.64
18년 6월,286.55
