특성,모기지 이자율
2020년 4분기,1.25%
2020년 3분기,1.27%
2020년 2분기,1.27%
2020년 1분기,1.38%
2019년 4분기,1.44%
2019년 3분기,1.44%
2019년 2분기,1.77%
2019년 1분기,1.85%
2018년 4분기,1.89%
2018년 3분기,1.8%
2018년 2분기,1.8%
2018년 1분기,1.88%
2017년 4분기,1.9%
2017년 3분기,2.02%
2017년 2분기,2.1%
2017년 1분기,2.11%
2016년 4분기,2.02%
2016년 3분기,2.02%
2016년 2분기,2.2%
2016년 1분기,2.33%
2015년 4분기,2.5%
2015년 3분기,2.67%
2015년 2분기,2.77%
2015년 1분기,2.68%
2014년 4분기,2.84%
2014년 3분기,2.99%
2014년 2분기,3.26%
2014년 1분기,3.44%
2013년 4분기,3.5%
2013년 3분기,3.68%
2013년 2분기,3.64%
2013년 1분기,3.68%
