특성,전년대비 인플레이션율
2026*,5%
2025*,5%
2024*,5.01%
2023*,5.12%
2022*,5.49%
2021*,5.95%
2020*,5.93%
2019*,7.12%
2018,6.52%
2017년,8.05%
2016년,7.23%
2015년,6.81%
2014년,6.26%
2013년,5.24%
2012,4.65%
2011년,4.8%
2010년,5.05%
2009년,4.55%
2008년,4.45%
2007년,5.37%
2006년,2.06%
2005년,4.96%
2004년,14.29%
2003년,17.03%
2002년,8.61%
2001년,4.49%
2000,0.85%
1999년,3.81%
1998년,1.11%
1997년,2.78%
1996년,1.1%
1995년,6.98%
1994년,1.71%
1993년,6.47%
1992년,9.48%
1991년,8.64%
1990년,12.17%
1989년,8.26%
1988년,11.55%
1987년,23.71%
1986년,56.56%
