특성,판매된 단위
2021년 5월,418
'21년 4월,510
'21년 3월,488
'21년 2월,236
'21년 1월,310
2020년 12월,1875
'20년 11월,675
2020년 10월,1100
2020년 9월,1199
'20년 8월,705
2020년 7월,1163
2020년 6월,1224
20년 5월,634
2020년 4월,177
2020년 3월,553
2020년 2월,425
2020년 1월,492
19년 12월,297
'19년 11월,506
19년 10월,668
'19년 9월,779
'19년 8월,574
'19년 7월,660
19년 6월,619
19년 5월,596
'19년 4월,559
'19년 3월,668
'19년 2월,343
19년 1월,359
'18년 12월,283
'18년 11월,391
18년 10월,452
'18년 9월,582
'18년 8월,462
'18년 7월,380
18년 6월,412
18년 5월,409
'18년 4월,334
'18년 3월,327
'18년 2월,233
'18년 1월,274
