특성,출석 변경
10월 중국 베이징 해피밸리,29.6%
"에버랜드, 대한민국",12.9%
중국 창롱해양왕국,8.4%
"아일랜드 오브 어드벤처, 미국",6%
"창롱 파라다이스, 중국",4.8%
"유니버설 스튜디오 올랜도, 미국",2%
"디즈니 할리우드 스튜디오, 미국",2%
"유니버셜 스튜디오, 일본",1.4%
"디즈니 동물의 왕국, 미국",1%
"매직 킹덤(월트 디즈니 월드), 미국",0.5%
"나가시마 스파랜드, 일본",0.5%
독일 유로파파크,0.5%
"디즈니 캘리포니아 어드벤처, 미국",0%
"Epcot(월트 디즈니 월드), 미국",0%
일본 도쿄 디즈니랜드,0%
미국 디즈니랜드 애너하임,0%
일본 도쿄 디즈니 씨,0%
"유니버셜 스튜디오 할리우드, 미국",0%
"롯데월드, 대한민국",-0.1%
"월트 디즈니 스튜디오, 프랑스",-1%
"디즈니랜드 파크, 프랑스",-1%
"오션파크, 홍콩특별행정구",-1.7%
"데 에프텔링, 네덜란드",-1.7%
중국 상하이 디즈니랜드,-5%
"홍콩 디즈니랜드, 홍콩 S.A.R.",-15%
