특성,백만 유로 단위의 수익
2020-21 4분기,501.8
2020-21 3분기,965.1
2020-21 2분기,329.7
2020-21년 1분기,427.3
2019-20 4분기,481.1
2019-20 3분기,416.2
2019-20 2분기,334.1
2019-20 1분기,363.4
2018-19 4분기,516.5
2018-19 3분기,562.0
2018-19 2분기,367.1
2018-19 1분기,400.0
2017-18 4분기,540.7
2017-18 3분기,725.0
2017-18 2분기,264.2
2017-18 1분기,202.1
2016-17 4분기,648.6
2016-17년 3분기,529.9
2016-17년 2분기,142.2
2016-17년 1분기,139.1
2015-16 4분기,624.9
2015-16 3분기,561.8
2015-16 2분기,110.7
2015-16년 1분기,96.6
2014-15 4분기,169.9
2014-15 3분기,809.7
2014-15 2분기,124.1
2014-15 1분기,360.1
2013-14 4분기,194.1
2013-14 3분기,520.0
2013-14 2분기,217.0
2013-14 1분기,76.0
2012-13 4분기,175.0
2012-13 3분기,802.0
2012-13 2분기,148.0
2012-13 1분기,131.0
2011-12 4분기,161.0
2011-12 3분기,652.0
2011-12 2분기,146.0
2011-12 1분기,103.0
2010-11 4분기,178.0
2010-11 3분기,600.0
