특성,수백만 단위 판매
'18년 4분기,46.89
'18년 3분기,41.3
'18년 2분기,52.22
'18년 1분기,77.32
'17년 4분기,46.68
'17년 3분기,41.03
2017년 2분기,50.76
'17년 1분기,78.29
'16년 4분기,45.51
'16년 3분기,40.4
'16년 2분기,51.19
'16년 1분기,74.78
'15년 4분기,48.05
'15년 3분기,47.53
'15년 2분기,61.17
'15년 1분기,74.47
'14년 4분기,39.27
'14년 3분기,35.2
'14년 2분기,43.72
'14년 1분기,51.03
'13년 4분기,33.8
'13년 3분기,31.24
'13년 2분기,37.43
'13년 1분기,47.79
'12년 4분기,26.91
'12년 3분기,26.03
2012년 2분기,35.06
'12년 1분기,37.04
'11년 4분기,17.07
'11년 3분기,20.34
'11년 2분기,18.65
'11년 1분기,16.24
'10년 4분기,14.1
'10년 3분기,8.4
'10년 2분기,8.75
'10년 1분기,8.74
2009년 4분기,7.37
2009년 3분기,5.21
2009년 2분기,3.79
2009년 1분기,4.36
2008년 4분기,6.89
2008년 3분기,0.72
2008년 2분기,1.7
2008년 1분기,2.32
2007년 4분기,1.12
2007년 3분기,0.27
